辽宁联通组播,#genre#
西藏卫视(藏语),http://175.150.159.235:9007/rtp/232.0.0.104:1234
安多藏语综合,http://175.150.159.235:9007/rtp/232.0.0.105:1234
康巴藏语综合,http://175.150.159.235:9007/rtp/232.0.0.109:1234
电视指南,http://175.150.159.235:9007/rtp/232.0.0.91:1234
证券服务,http://175.150.159.235:9007/rtp/232.0.0.152:1234
新动漫,http://175.150.159.235:9007/rtp/232.0.0.65:1234
家庭理财,http://175.150.159.235:9007/rtp/232.0.0.19:1234
网络棋牌,http://175.150.159.235:9007/rtp/232.0.0.64:1234
第一剧场,http://175.150.159.235:9007/rtp/232.0.0.29:1234
怀旧剧场,http://175.150.159.235:9007/rtp/232.0.0.38:1234
风云剧场,http://175.150.159.235:9007/rtp/232.0.0.45:1234
风云足球,http://175.150.159.235:9007/rtp/232.0.0.52:1234
风云音乐,http://175.150.159.235:9007/rtp/232.0.0.47:1234
央视台球,http://175.150.159.235:9007/rtp/232.0.0.60:1234
央视文化精品,http://175.150.159.235:9007/rtp/232.0.0.56:1234
世界地理,http://175.150.159.235:9007/rtp/232.0.0.63:1234
兵器科技,http://175.150.159.235:9007/rtp/232.0.0.58:1234
游戏竞技,http://175.150.159.235:9007/rtp/232.0.0.112:1234
电子体育,http://175.150.159.235:9007/rtp/232.0.0.24:1234
4K欢笑剧场,http://175.150.159.235:9007/rtp/232.0.0.98:1234
生活时尚,http://175.150.159.235:9007/rtp/232.0.0.107:1234
乐游,http://175.150.159.235:9007/rtp/232.0.0.108:1234
游戏风云,http://175.150.159.235:9007/rtp/232.0.0.127:1234
动漫秀场,http://175.150.159.235:9007/rtp/232.0.0.128:1234
法治天地,http://175.150.159.235:9007/rtp/232.0.0.134:1234
都市剧场,http://175.150.159.235:9007/rtp/232.0.0.149:1234
精选,http://175.150.159.235:9007/rtp/232.0.0.102:1234
IPTV足球,http://175.150.159.235:9007/rtp/232.0.0.213:1234
爱生活,http://175.150.159.235:9007/rtp/232.0.0.148:1234
IPTV3(轮播),http://175.150.159.235:9007/rtp/232.0.0.118:1234
IPTV5(轮播),http://175.150.159.235:9007/rtp/232.0.0.119:1234
爱上4K,http://175.150.159.235:9007/rtp/232.0.0.187:1234
谍战剧场,http://175.150.159.235:9007/rtp/232.0.0.203:1234
地理,http://175.150.159.235:9007/rtp/232.0.0.197:1234
怀旧电影,http://175.150.159.235:9007/rtp/232.0.0.48:1234
党员教育,http://175.150.159.235:9007/rtp/232.0.0.129:1234
抚顺综合,http://175.150.159.235:9007/rtp/232.0.0.143:1234
抚顺教育,http://175.150.159.235:9007/rtp/232.0.0.145:1234
大洼综合,http://175.150.159.235:9007/rtp/232.0.0.146:1234
辽河新闻综合,http://175.150.159.235:9007/rtp/232.0.0.214:1234
辽河文化生活,http://175.150.159.235:9007/rtp/232.0.0.215:1234
北京联通组播,#genre#
CCTV-1,http://111.193.236.223:4022/rtp/239.3.1.129:8008
CCTV-2,http://111.193.236.223:4022/rtp/239.3.1.60:8084
CCTV-3,http://111.193.236.223:4022/rtp/239.3.1.172:8001
CCTV-4,http://111.193.236.223:4022/rtp/239.3.1.105:8092
CCTV-5,http://111.193.236.223:4022/rtp/239.3.1.173:8001
CCTV-5+,http://111.193.236.223:4022/rtp/239.3.1.130:8004
CCTV-6,http://111.193.236.223:4022/rtp/239.3.1.174:8001
CCTV-7,http://111.193.236.223:4022/rtp/239.3.1.61:8104
CCTV-8,http://111.193.236.223:4022/rtp/239.3.1.175:8001
CCTV-9,http://111.193.236.223:4022/rtp/239.3.1.62:8112
CCTV-10,http://111.193.236.223:4022/rtp/239.3.1.63:8116
CCTV-11,http://111.193.236.223:4022/rtp/239.3.1.152:8120
CCTV-12,http://111.193.236.223:4022/rtp/239.3.1.64:8124
CCTV-13,http://111.193.236.223:4022/rtp/239.3.1.124:8128
CCTV-14,http://111.193.236.223:4022/rtp/239.3.1.65:8132
CCTV-15,http://111.193.236.223:4022/rtp/239.3.1.153:8136
CCTV-16 奥林匹克[HDR],http://111.193.236.223:4022/rtp/239.3.1.183:8001
CCTV-16 奥林匹克HD,http://111.193.236.223:4022/rtp/239.3.1.184:8001
CCTV-17,http://111.193.236.223:4022/rtp/239.3.1.151:8144
北京卫视,http://111.193.236.223:4022/rtp/239.3.1.241:8000
BTV新闻,http://111.193.236.223:4022/rtp/239.3.1.159:8000
BTV影视,http://111.193.236.223:4022/rtp/239.3.1.158:8000
BTV文艺,http://111.193.236.223:4022/rtp/239.3.1.242:8000
BTV财经,http://111.193.236.223:4022/rtp/239.3.1.116:8000
BTV生活,http://111.193.236.223:4022/rtp/239.3.1.117:8000
BTV青年,http://111.193.236.223:4022/# rtp/239.3.1.118:8000
BTV纪实科教,http://111.193.236.223:4022/rtp/239.3.1.115:8000
BTV卡酷少儿,http://111.193.236.223:4022/rtp/239.3.1.189:8000
BTV体育休闲,http://111.193.236.223:4022/rtp/239.3.1.243:8000
BTV冬奥纪实,http://111.193.236.223:4022/rtp/239.3.1.120:8000
BTV冬奥纪实,http://111.193.236.223:4022/rtp/239.3.1.121:8000
BTV体育休闲,http://111.193.236.223:4022/rtp/239.3.1.243:8000
BTV国际频道,http://111.193.236.223:4022/rtp/239.3.1.235:8000
爱上4K[超清],http://111.193.236.223:4022/rtp/239.3.1.236:2000
4K超清[超清],http://111.193.236.223:4022/rtp/239.3.1.249:8001
淘电影HD,http://111.193.236.223:4022/rtp/239.3.1.250:8001
每日影院HD,http://111.193.236.223:4022/rtp/239.3.1.111:8001
星影,http://111.193.236.223:4022/rtp/239.3.1.94:4120
动作影院,http://111.193.236.223:4022/rtp/239.3.1.92:4120
光影,http://111.193.236.223:4022/rtp/239.3.1.84:4120
喜剧影院,http://111.193.236.223:4022/rtp/239.3.1.91:4120
家庭影院,http://111.193.236.223:4022/rtp/239.3.1.93:4120
精选,http://111.193.236.223:4022/rtp/239.3.1.74:4120
经典电影,http://111.193.236.223:4022/rtp/239.3.1.195:9024
纪实人文HD,http://111.193.236.223:4022/rtp/239.3.1.212:8060
金鹰纪实HD,http://111.193.236.223:4022/rtp/239.3.1.58:8156
风尚生活HD,http://111.193.236.223:4022/# rtp/239.3.1.114:8001
地理,http://111.193.236.223:4022/rtp/239.3.1.71:4120
淘剧场HD,http://111.193.236.223:4022/rtp/239.3.1.95:8001
幸福剧场HD,http://111.193.236.223:4022/# rtp/239.3.1.112:8001
淘娱乐HD,http://111.193.236.223:4022/rtp/239.3.1.100:8001
幸福娱乐HD,http://111.193.236.223:4022/# rtp/239.3.1.113:8001
淘BabyHD,http://111.193.236.223:4022/rtp/239.3.1.238:8001
萌宠TVHD,http://111.193.236.223:4022/rtp/239.3.1.102:8001
湖南卫视HD,http://111.193.236.223:4022/rtp/239.3.1.132:8012
东方卫视HD,http://111.193.236.223:4022/rtp/239.3.1.136:8032
浙江卫视HD,http://111.193.236.223:4022/rtp/239.3.1.137:8036
江苏卫视HD,http://111.193.236.223:4022/rtp/239.3.1.135:8028
深圳卫视HD,http://111.193.236.223:4022/rtp/239.3.1.134:8020
广东卫视HD,http://111.193.236.223:4022/rtp/239.3.1.142:8048
安徽卫视HD,http://111.193.236.223:4022/rtp/239.3.1.211:8064
天津卫视HD,http://111.193.236.223:4022/rtp/239.3.1.141:1234
重庆卫视HD,http://111.193.236.223:4022/rtp/239.3.1.122:8160
山东卫视HD,http://111.193.236.223:4022/rtp/239.3.1.209:8052
黑龙江卫视HD,http://111.193.236.223:4022/rtp/239.3.1.133:8016
河北卫视HD,http://111.193.236.223:4022/rtp/239.3.1.148:8072
辽宁卫视HD,http://111.193.236.223:4022/rtp/239.3.1.210:8056
湖北卫视HD,http://111.193.236.223:4022/rtp/239.3.1.138:8044
吉林卫视HD,http://111.193.236.223:4022/rtp/239.3.1.240:8172
贵州卫视HD,http://111.193.236.223:4022/rtp/239.3.1.149:8076
东南卫视HD,http://111.193.236.223:4022/rtp/239.3.1.156:8148
江西卫视HD,http://111.193.236.223:4022/rtp/239.3.1.123:8164
海南卫视,http://111.193.236.223:4022/rtp/239.3.1.45:8304
云南卫视,http://111.193.236.223:4022/rtp/239.3.1.26:8108
