4K频道,#genre#
CCTV-10科教,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227562/index.m3u8
CCTV-10科教,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226194/index.m3u8
CCTV-10科教,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227678/index.m3u8
CCTV-11戏曲,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227443/index.m3u8
CCTV-11戏曲,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227537/index.m3u8
CCTV-11戏曲,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226193/index.m3u8
CCTV-12社会与法,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226183/index.m3u8
CCTV-12社会与法,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227540/index.m3u8
CCTV-12社会与法,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227543/index.m3u8
CCTV-12社会与法,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226192/index.m3u8
CCTV-12社会与法,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227599/index.m3u8
CCTV-13新闻,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227446/index.m3u8
CCTV-13新闻,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227449/index.m3u8
CCTV-13新闻,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226191/index.m3u8
CCTV-14少儿,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226182/index.m3u8
CCTV-14少儿,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227452/index.m3u8
CCTV-14少儿,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227546/index.m3u8
CCTV-14少儿,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226181/index.m3u8
CCTV-14少儿,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227681/index.m3u8
CCTV-15音乐,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227549/index.m3u8
CCTV-15音乐,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227565/index.m3u8
CCTV-15音乐,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226180/index.m3u8
CCTV-16奥林匹克,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227071/index.m3u8
CCTV-16奥林匹克,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227455/index.m3u8
CCTV-16奥林匹克,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227458/index.m3u8
CCTV-17农业农村,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226869/index.m3u8
CCTV-17农业农村,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227552/index.m3u8
CCTV-17农业农村,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227568/index.m3u8
CCTV-17农业农村,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226866/index.m3u8
CCTV-17农业农村,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227685/index.m3u8
CCTV兵器科技,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227647/index.m3u8
CCTV第一剧场,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227730/index.m3u8
CCTV电视指南,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227748/index.m3u8
CCTV风云剧场,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227736/index.m3u8
CCTV风云音乐,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227641/index.m3u8
CCTV风云足球,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227638/index.m3u8
CCTV高尔夫网球,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227715/index.m3u8
CCTV怀旧剧场,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227733/index.m3u8
CCTV女性时尚,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227742/index.m3u8
CCTV世界地理,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227739/index.m3u8
CCTV央视台球,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227711/index.m3u8
CCTV央视文化精品,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227644/index.m3u8
中央新影老故事,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227745/index.m3u8
CGTN,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226172/index.m3u8
