央视,#genre#
CCTV1-综合,http://36.129.204.120:65501/1001.m3u8
CCTV2-财经,http://36.129.204.120:65501/1002.m3u8
CCTV3-综艺,http://36.129.204.120:65501/1003.m3u8
CCTV4-国际,http://36.129.204.120:65501/1004.m3u8
CCTV5-体育,http://36.129.204.120:65501/1066.m3u8
CCTV5+,http://36.129.204.120:65501/1017.m3u8
CCTV6-电影,http://36.129.204.120:65501/1005.m3u8
CCTV7-国防军事,http://36.129.204.120:65501/1006.m3u8
CCTV8-电视剧,http://36.129.204.120:65501/1007.m3u8
CCTV9-纪录,http://36.129.204.120:65501/1008.m3u8
CCTV10-科教,http://36.129.204.120:65501/1009.m3u8
CCTV11-戏曲,http://36.129.204.120:65501/1010.m3u8
CCTV12-社会与法,http://36.129.204.120:65501/1011.m3u8
CCTV13-新闻,http://36.129.204.120:65501/1012.m3u8
CCTV14-少儿,http://36.129.204.120:65501/1013.m3u8
CCTV15-音乐,http://36.129.204.120:65501/1014.m3u8
CCTV16-奥林匹克,http://36.129.204.120:65501/1015.m3u8
CCTV17-农业农村,http://36.129.204.120:65501/1016.m3u8
CGTN,http://36.129.204.120:65501/1050.m3u8
CETV-1,http://36.129.204.120:65501/1074.m3u8
CETV-2,http://36.129.204.120:65501/1075.m3u8
CETV-4,http://36.129.204.120:65501/1076.m3u8
卫视,#genre#
辽宁卫视,http://36.129.204.120:65501/1018.m3u8
吉林卫视,http://36.129.204.120:65501/1027.m3u8
黑龙江卫视,http://36.129.204.120:65501/1026.m3u8
北京卫视,http://36.129.204.120:65501/1019.m3u8
湖南卫视,http://36.129.204.120:65501/1021.m3u8
浙江卫视,http://36.129.204.120:65501/1022.m3u8
东方卫视,http://36.129.204.120:65501/1025.m3u8
深圳卫视4K,http://36.129.204.120:65501/1086.m3u8
江苏卫视,http://36.129.204.120:65501/1023.m3u8
安徽卫视,http://36.129.204.120:65501/1024.m3u8
湖北卫视,http://36.129.204.120:65501/1032.m3u8
河北卫视,http://36.129.204.120:65501/1048.m3u8
天津卫视,http://36.129.204.120:65501/1020.m3u8
山东卫视,http://36.129.204.120:65501/1028.m3u8
山东教育卫视,http://36.129.204.120:65501/1077.m3u8
河南卫视,http://36.129.204.120:65501/1034.m3u8
江西卫视,http://36.129.204.120:65501/1033.m3u8
四川卫视,http://36.129.204.120:65501/1035.m3u8
重庆卫视,http://36.129.204.120:65501/1036.m3u8
贵州卫视,http://36.129.204.120:65501/1040.m3u8
广东卫视,http://36.129.204.120:65501/1030.m3u8
广西卫视,http://36.129.204.120:65501/1031.m3u8
东南卫视,http://36.129.204.120:65501/1037.m3u8
云南卫视,http://36.129.204.120:65501/1039.m3u8
海南卫视,http://36.129.204.120:65501/1047.m3u8
厦门卫视,http://36.129.204.120:65501/1038.m3u8
内蒙古卫视,http://36.129.204.120:65501/1049.m3u8
陕西卫视,http://36.129.204.120:65501/1041.m3u8
山西卫视,http://36.129.204.120:65501/1029.m3u8
宁夏卫视,http://36.129.204.120:65501/1042.m3u8
甘肃卫视,http://36.129.204.120:65501/1045.m3u8
青海卫视,http://36.129.204.120:65501/1043.m3u8
西藏卫视,http://36.129.204.120:65501/1046.m3u8
新疆卫视,http://36.129.204.120:65501/1044.m3u8
兵团卫视,http://36.129.204.120:65501/1060.m3u8
延边卫视,http://36.129.204.120:65501/1061.m3u8
省内,#genre#
辽宁体育,http://36.129.204.120:65501/1053.m3u8
辽宁都市,http://36.129.204.120:65501/1051.m3u8
辽宁影视剧,http://36.129.204.120:65501/1052.m3u8
辽宁公共,http://36.129.204.120:65501/1058.m3u8
辽宁生活,http://36.129.204.120:65501/1054.m3u8
辽宁经济,http://36.129.204.120:65501/1057.m3u8
辽宁北方,http://36.129.204.120:65501/1056.m3u8
辽宁教育青少,http://36.129.204.120:65501/1055.m3u8
辽宁移动电视,http://36.129.204.120:65501/1059.m3u8
其它,#genre#
金鹰纪实,http://36.129.204.120:65501/1083.m3u8
纪实科教,http://36.129.204.120:65501/1084.m3u8
都市剧场,http://36.129.204.120:65501/1064.m3u8
金色学堂,http://36.129.204.120:65501/1062.m3u8
法治天地,http://36.129.204.120:65501/1063.m3u8
生活时尚,http://36.129.204.120:65501/1098.m3u8
乐游,http://36.129.204.120:65501/1099.m3u8
游戏风云,http://36.129.204.120:65501/1100.m3u8
四海钓鱼,http://36.129.204.120:65501/1090.m3u8
天下收藏,http://36.129.204.120:65501/1095.m3u8
家庭理财,http://36.129.204.120:65501/1088.m3u8
财富天下,http://36.129.204.120:65501/1097.m3u8
生态环境,http://36.129.204.120:65501/1094.m3u8
中华特产,http://36.129.204.120:65501/1091.m3u8
中国天气,http://36.129.204.120:65501/1096.m3u8
环球旅游,http://36.129.204.120:65501/1089.m3u8
轮播,#genre#
热播剧场,http://36.129.204.120:65501/1068.m3u8
家庭影院,http://36.129.204.120:65501/1065.m3u8
少儿,#genre#
卡酷少儿,http://36.129.204.120:65501/1082.m3u8
优漫卡通,http://36.129.204.120:65501/1080.m3u8
嘉佳卡通,http://36.129.204.120:65501/1081.m3u8
金鹰卡通,http://36.129.204.120:65501/1078.m3u8
动漫秀场,http://36.129.204.120:65501/1101.m3u8
新动漫,http://36.129.204.120:65501/1087.m3u8
优优宝贝,http://36.129.204.120:65501/1092.m3u8
晴彩,#genre#
晴彩篮球,http://36.129.204.120:65501/1071.m3u8
晴彩竞技,http://36.129.204.120:65501/1070.m3u8
晴彩青少,http://36.129.204.120:65501/1072.m3u8
晴彩广场舞,http://36.129.204.120:65501/1073.m3u8

